name,brand,kcal_per_mL,protein_per_mL,fat_per_mL,carbohydrate_per_mL,fibre_per_mL,sodium_per_mL,potassium_per_mL,calcium_per_mL,iron_per_mL,magnesium_per_mL,phosphorus_per_mL,free_water_per_mL,vitamin_a_rae_ug_per_mL,retinol_ug_per_mL,beta_carotene_ug_per_mL,vitamin_d_ug_per_mL,vitamin_e_mg_per_mL,vitamin_c_mg_per_mL,thiamine_mg_per_mL,riboflavin_mg_per_mL,vitamin_b6_mg_per_mL,pantothenic_acid_mg_per_mL,niacin_preformed_mg_per_mL,zinc_mg_per_mL,copper_mg_per_mL,manganese_mg_per_mL,folate_dfe_ug_per_mL,vitamin_b12_ug_per_mL,selenium_ug_per_mL,source,verified
Isosource Fibre 1.5,Nestlé Health Science,1.5,0.070,0.06,0.18,0.015,1.3,2.4,1.2,0.018,0.42,1.2,0.766,1.5,0.75,1.5,0.0165,0.0198,0.3,0.0028,0.00332,0.0048,0.0188,0.0216,0.02,0.002,0.004,0.938,0.0072,0.072,2026_nestle-product-guide.pdf p.25 (pdf page),2026-07-19
Isosource Fibre 1.2,Nestlé Health Science,1.2,0.054,0.04,0.164,0.015,1.12,1.92,0.96,0.014,0.336,0.96,0.805,1.28,0.64,1.28,0.012,0.0162,0.24,0.002,0.0024,0.0032,0.0128,0.016,0.016,0.0016,0.00372,0.68,0.0056,0.064,2026_nestle-product-guide.pdf p.23 (pdf page),2026-07-19
Isosource Fibre 1.0 HP,Nestlé Health Science,1.0,0.064,0.034,0.124,0.015,0.88,1.6,0.8,0.016,0.28,0.8,0.840,1.04,0.522,1.04,0.01,0.0135,0.2,0.0016,0.002,0.0028,0.012,0.012,0.016,0.0016,0.0036,0.578,0.0048,0.06,2026_nestle-product-guide.pdf p.21 (pdf page),2026-07-19
Nepro,Abbott Nutrition,1.8,0.081,0.097,0.16,0.025,1.055,0.949,1.055,0.014,0.169,0.717,0.727,0.759,0.759,,0.016,0.0308,0.095,0.0025,0.0021,0.0093,0.0095,0.034,0.013,0.0018,0.0025,1.29,0.0051,0.058,2024_abbott-adult-product-guide.pdf p.22 (pdf page),2026-07-19
Peptamen AF 1.2,Nestlé Health Science,1.2,0.076,0.054,0.112,0.0052,0.72,1.8,0.8,0.02,0.34,0.8,0.810,1.56,0.96,1.2,0.016,0.0216,0.14,0.0024,0.0024,0.0028,0.006,0.0264,0.0176,0.0024,0.0032,0.408,0.012,0.08,2026_nestle-product-guide.pdf p.32 (pdf page),2026-09-02
Peptamen Intense 1.0 HP,Nestlé Health Science,1.0,0.092,0.038,0.076,0.004,0.7,1.5,0.68,0.016,0.3,0.68,0.840,1.29,0.798,0.984,0.0132,0.0162,0.12,0.002,0.002,0.0024,0.0048,0.022,0.01,0.002,0.0028,0.34,0.008,0.08,2026_nestle-product-guide.pdf p.35 (pdf page),2026-07-19
Resource 2.0,Nestlé Health Science,2.0,0.084,0.09,0.22,0,0.72,1.77,1.05,0.019,0.44,1.05,0.690,1.27,1.27,,0.0211,0.0418,0.38,0.00127,0.00169,0.0019,0.00549,0.0169,0.016,0.00211,0.00253,0.43,0.00316,0.0591,2026_nestle-product-guide.pdf p.37 (pdf page),2026-07-19
Peptamen 1.5,Nestlé Health Science,1.5,0.068,0.056,0.188,0,0.9,2.1,1.0,0.024,0.42,1.0,0.770,1.95,1.2,1.5,0.02,0.0203,0.18,0.0028,0.0032,0.0036,0.0072,0.0332,0.022,0.0032,0.0044,0.544,0.012,0.1,2026_nestle-product-guide.pdf p.33 (pdf page),2026-07-19
Compleat 1.06,Nestlé Health Science,1.06,0.048,0.04,0.13,0.008,1.0,1.56,0.88,0.013,0.3,0.84,0.830,1.08,0.6,0.96,0.014,0.0144,0.24,0.0016,0.002,0.0028,0.012,0.0144,0.02,0.0016,0.0032,0.34,0.008,0.06,2026_nestle-product-guide.pdf p.18 (pdf page),2026-07-19
Compleat 1.5,Nestlé Health Science,1.5,0.072,0.072,0.15,0.012,1.32,2.4,1.2,0.018,0.42,1.2,0.760,1.8,0.92,1.76,0.02,0.0108,0.3,0.0032,0.0032,0.004,0.016,0.02,0.02,0.002,0.004,0.816,0.0072,0.064,2026_nestle-product-guide.pdf p.19 (pdf page),2026-07-19
