product_name,flavour,basis_ml,kcal,protein_g,fat_g,carbohydrate_g,fibre_g,sodium_mg,potassium_mg,calcium_mg,magnesium_mg,phosphorus_mg,coverage,source_url,retrieved,notes
BOOST 1.5,Vanilla,237,360,13,11,52,,310,460,300,100,250,not_published,reference_documents/canada/2026_nestle-product-guide.pdf p.30 (printed folio),2026-09-10,"From the guide's 'Vanilla Flavoured' panel (237 mL column); this is the only nutrition table Nestle publishes for BOOST 1.5, and it names Vanilla specifically. Not sold on shop.nestlehealthscience.ca as of 2026-09-10 (checked the boost collection listing and the full product sitemap; no match for BOOST 1.5 under any flavour). Fibre is not printed in this guide table. The guide also lists water content as 180 mL/237 mL and osmolality as 920 mOsm/kg water; these professional-guide fields could not be checked against any consumer page because none exists for this product."
BOOST 1.5,Chocolate,237,,,,,,,,,,,not_published,,2026-09-10,No chocolate-specific nutrition panel found anywhere. BOOST 1.5 is not sold on shop.nestlehealthscience.ca. The guide's only table for this product is the Vanilla Flavoured panel (see the Vanilla row); values are left blank here rather than assumed equal to Vanilla.
BOOST 1.5,Strawberry,237,,,,,,,,,,,not_published,,2026-09-10,No strawberry-specific nutrition panel found anywhere. BOOST 1.5 is not sold on shop.nestlehealthscience.ca. The guide's only table for this product is the Vanilla Flavoured panel (see the Vanilla row); values are left blank here rather than assumed equal to Vanilla.
BOOST 2.24,Vanilla,237,530,22,26,52,,280,420,250,80,250,published,https://shop.nestlehealthscience.ca/products/boost%C2%AE-2-24-vanilla-24-x-237-ml,2026-09-10,"Shop Nutrition Facts table, quoted as printed; identity confirmed from the page heading (BOOST 2.24 Vanilla). Fibre is not listed. Water content and osmolality are not listed on this consumer page. Chloride is listed as 300 mg. Every value matches the guide's Vanilla Flavoured panel exactly."
BOOST 2.24,Chocolate,237,530,22,26,52,,280,450,250,80,250,published,https://shop.nestlehealthscience.ca/products/boost%C2%AE-2-24-chocolate-24-x-237-ml,2026-09-10,"Shop Nutrition Facts table, quoted as printed; identity confirmed from the page heading. Potassium (450 mg) is 30 mg higher than Vanilla and Strawberry (420 mg each); every other value is identical across all three flavours. Fibre, water content and osmolality are not listed. Chloride is listed as 300 mg (same across flavours). This is the flavour difference the task brief used as its worked example, and the shop listing reproduces it exactly."
BOOST 2.24,Strawberry,237,530,22,26,52,,280,420,250,80,250,published,https://shop.nestlehealthscience.ca/products/boost%C2%AE-2-24-strawberry-24-x-237-ml,2026-09-10,"Shop Nutrition Facts table, quoted as printed; identity confirmed from the page heading. Matches Vanilla exactly, including potassium at 420 mg, which differs from Chocolate's 450 mg. Fibre, water content and osmolality are not listed. Chloride is listed as 300 mg."
BOOST CarbSmart,Vanilla,237,190,16,7,17,3,125,350,280,54,260,not_published,reference_documents/canada/2026_nestle-product-guide.pdf p.10 (printed folio),2026-09-10,"From the guide's 'Vanilla Flavoured' panel; no shop.nestlehealthscience.ca listing exists for this product (checked the boost collection and the full product sitemap; no match). The guide separately states sucralose content differs by flavour: 40 mg/237 ml for vanilla and strawberry versus 45 mg/237 ml for chocolate, so the recipe is not identical across flavours even though only one nutrient panel is printed. Guide also lists water content as 195 mL/237 mL; no osmolality figure is given for this product."
BOOST CarbSmart,Chocolate,237,,,,,,,,,,,not_published,,2026-09-10,"No chocolate-specific nutrition panel found; not sold on shop.nestlehealthscience.ca. The guide states chocolate contains 45 mg sucralose per 237 mL versus 40 mg for vanilla/strawberry, so the recipe differs, but no separate nutrient panel is published for chocolate. Values left blank rather than assumed equal to Vanilla."
BOOST CarbSmart,Strawberry,237,,,,,,,,,,,not_published,,2026-09-10,"No strawberry-specific nutrition panel found; not sold on shop.nestlehealthscience.ca. The guide lists strawberry's sucralose at 40 mg/237 ml, the same as vanilla, but prints no separate nutrient panel for strawberry. Values left blank rather than assumed equal to Vanilla."
BOOST Fruit Flavoured,Orange,237,180,9,0.5,36,,15,35,79,40,200,published,https://shop.nestlehealthscience.ca/products/boost%C2%AE-fruit-beverage-orange-prisma-24-x-237-ml-new-packaging,2026-09-10,"Shop Nutrition Facts table, quoted as printed; identity confirmed from the page heading. Matches the guide's 'Orange Flavoured' panel on every macro and mineral value. Fibre is not listed (the page lists Sugars only). Water content is listed as 205 mL/237 mL, matching the guide. Osmolality is listed as 790 mOsm/kg water, which disagrees with the guide's 670 mOsm/kg water for the same panel — a shop-vs-guide disagreement. Chloride is listed as 60 mg. I searched this page and the 2026 guide for a sentence stating the nutrition information applies only to the orange flavour and did not find one in either; see the survey report for details."
