product_name,flavour,basis_ml,kcal,protein_g,fat_g,carbohydrate_g,fibre_g,sodium_mg,potassium_mg,calcium_mg,magnesium_mg,phosphorus_mg,coverage,source_url,retrieved,notes
Ensure Advance,Vanilla,235,350,20,11,44,3,259,470,249,66,251,published,https://www.nutrition.abbott/ca/en/adult/ensure-advance,2026-09-10,"Vanilla and Chocolate print different figures: carbohydrate 44 g vs 46 g, potassium 470 mg vs 588 mg (this basis)."
Ensure Advance,Vanilla,100,149,8.5,4.7,18.8,1.3,110,200,106,28.1,107,published,https://www.nutrition.abbott/ca/en/adult/ensure-advance,2026-09-10,"Vanilla and Chocolate print different figures: carbohydrate 18.8 g vs 19.4 g, potassium 200 mg vs 250 mg (this basis). Cross-check against the 235 mL column agrees within 3% on every nutrient."
Ensure Advance,Chocolate,235,350,20,11,46,3,259,588,249,66,251,published,https://www.nutrition.abbott/ca/en/adult/ensure-advance,2026-09-10,"Vanilla and Chocolate print different figures: carbohydrate 44 g vs 46 g, potassium 470 mg vs 588 mg (this basis)."
Ensure Advance,Chocolate,100,149,8.5,4.7,19.4,1.3,110,250,106,28.1,107,published,https://www.nutrition.abbott/ca/en/adult/ensure-advance,2026-09-10,"Vanilla and Chocolate print different figures: carbohydrate 18.8 g vs 19.4 g, potassium 200 mg vs 250 mg (this basis). Cross-check against the 235 mL column agrees within 3% on every nutrient."
Ensure Clear,Apple,237,240,8,0,52,0,70,30,40,8,225,published,https://www.nutrition.abbott/ca/en/adult/ensure-clear,2026-09-10,"Apple and Mixed Berry tables print identical figures throughout (confirmed on a separate fetch of each). Cross-check disagreements at this basis: calcium 40 mg/237 mL implies ~16.9 mg/100 mL but the page's 100 mL column prints 14.8 mg (about -12%); magnesium 8 mg/237 mL implies ~3.4 mg/100 mL vs printed 3.6 mg (about +7%); phosphorus 225 mg/237 mL implies ~94.9 mg/100 mL vs printed 90 mg (about -5%)."
Ensure Clear,Apple,100,101,3.38,0,21.94,0,30,12.7,14.8,3.6,90,published,https://www.nutrition.abbott/ca/en/adult/ensure-clear,2026-09-10,"Apple and Mixed Berry tables print identical figures throughout. See the 237 mL row for the calcium/magnesium/phosphorus cross-check disagreements between this column and the container column."
Ensure Clear,Mixed Berry,237,240,8,0,52,0,70,30,40,8,225,published,https://www.nutrition.abbott/ca/en/adult/ensure-clear,2026-09-10,"Apple and Mixed Berry tables print identical figures throughout (confirmed on a separate fetch of each). Cross-check disagreements at this basis: calcium 40 mg/237 mL implies ~16.9 mg/100 mL but the page's 100 mL column prints 14.8 mg (about -12%); magnesium 8 mg/237 mL implies ~3.4 mg/100 mL vs printed 3.6 mg (about +7%); phosphorus 225 mg/237 mL implies ~94.9 mg/100 mL vs printed 90 mg (about -5%)."
Ensure Clear,Mixed Berry,100,101,3.38,0,21.94,0,30,12.7,14.8,3.6,90,published,https://www.nutrition.abbott/ca/en/adult/ensure-clear,2026-09-10,"Apple and Mixed Berry tables print identical figures throughout. See the 237 mL row for the calcium/magnesium/phosphorus cross-check disagreements between this column and the container column."
Ensure Compact,Vanilla,118,218,9.0,6.0,32,,162,330,326,43,188,published,https://www.nutrition.abbott/ca/en/adult/ensure-compact,2026-09-10,"Vanilla and Chocolate tables print identical figures throughout (confirmed on a separate fetch of each). The page's fibre cell reads the word 'No' rather than a gram figure; left blank here rather than guessed as zero. Cross-check against the 100 mL column agrees within 3% on every listed nutrient."
Ensure Compact,Vanilla,100,185,7.6,5.1,27,,137,279,276,36,159,published,https://www.nutrition.abbott/ca/en/adult/ensure-compact,2026-09-10,"Vanilla and Chocolate tables print identical figures throughout. Fibre cell reads 'No' rather than a gram figure; left blank rather than guessed as zero."
Ensure Compact,Chocolate,118,218,9.0,6.0,32,,162,330,326,43,188,published,https://www.nutrition.abbott/ca/en/adult/ensure-compact,2026-09-10,"Vanilla and Chocolate tables print identical figures throughout (confirmed on a separate fetch of each). The page's fibre cell reads the word 'No' rather than a gram figure; left blank here rather than guessed as zero. Cross-check against the 100 mL column agrees within 3% on every listed nutrient."
Ensure Compact,Chocolate,100,185,7.6,5.1,27,,137,279,276,36,159,published,https://www.nutrition.abbott/ca/en/adult/ensure-compact,2026-09-10,"Vanilla and Chocolate tables print identical figures throughout. Fibre cell reads 'No' rather than a gram figure; left blank rather than guessed as zero."
Ensure High Protein 12 g,Vanilla,235,225,12,6,31,,289,428,275,65,275,published,https://www.nutrition.abbott/ca/en/adult/ensure-high-protein-12-g,2026-09-10,"Vanilla, Chocolate, and Strawberry tables print identical figures throughout (confirmed on separate fetches of each). Fibre is not listed at either basis. Cross-check against the 100 mL column agrees within 3% on every listed nutrient."
Ensure High Protein 12 g,Vanilla,100,96,5.02,2.55,13.2,,123,182,117,27.7,117,published,https://www.nutrition.abbott/ca/en/adult/ensure-high-protein-12-g,2026-09-10,"Vanilla, Chocolate, and Strawberry tables print identical figures throughout. Fibre is not listed at either basis."
Ensure High Protein 12 g,Chocolate,235,225,12,6,31,,289,428,275,65,275,published,https://www.nutrition.abbott/ca/en/adult/ensure-high-protein-12-g,2026-09-10,"Vanilla, Chocolate, and Strawberry tables print identical figures throughout (confirmed on separate fetches of each). Fibre is not listed at either basis. Cross-check against the 100 mL column agrees within 3% on every listed nutrient."
Ensure High Protein 12 g,Chocolate,100,96,5.02,2.55,13.2,,123,182,117,27.7,117,published,https://www.nutrition.abbott/ca/en/adult/ensure-high-protein-12-g,2026-09-10,"Vanilla, Chocolate, and Strawberry tables print identical figures throughout. Fibre is not listed at either basis."
Ensure High Protein 12 g,Strawberry,235,225,12,6,31,,289,428,275,65,275,published,https://www.nutrition.abbott/ca/en/adult/ensure-high-protein-12-g,2026-09-10,"Vanilla, Chocolate, and Strawberry tables print identical figures throughout (confirmed on separate fetches of each). Fibre is not listed at either basis. Cross-check against the 100 mL column agrees within 3% on every listed nutrient."
Ensure High Protein 12 g,Strawberry,100,96,5.02,2.55,13.2,,123,182,117,27.7,117,published,https://www.nutrition.abbott/ca/en/adult/ensure-high-protein-12-g,2026-09-10,"Vanilla, Chocolate, and Strawberry tables print identical figures throughout. Fibre is not listed at either basis."
Ensure High Protein 16 g,Vanilla,235,160,16,2.0,19,0.89,204,465,324,42,186,published,https://www.nutrition.abbott/ca/en/adult/ensure-high-protein-16-g,2026-09-10,"Vanilla and Chocolate differ only in calcium: 324 mg vs 322 mg (this basis). All other nutrients identical between the two flavours. Cross-check against the 100 mL column agrees within 3% on every nutrient."
