id,product_name,flavour,name,brand,container_size_ml,package_unit,kcal_per_mL,protein_per_mL,fat_per_mL,carbohydrate_per_mL,fibre_per_mL,sodium_per_mL,potassium_per_mL,calcium_per_mL,magnesium_per_mL,phosphorus_per_mL,free_water_per_mL,source,verified,calculation_basis,serving_size_g,serving_unit,kcal_per_serving,protein_g_per_serving,fat_g_per_serving,carbohydrate_g_per_serving,fibre_g_per_serving,sodium_mg_per_serving,potassium_mg_per_serving,calcium_mg_per_serving,magnesium_mg_per_serving,phosphorus_mg_per_serving,free_water_ml_per_serving
abbott-ensure-advance-vanilla,Ensure Advance,Vanilla,Ensure Advance — Vanilla,Abbott Nutrition,235,bottle,1.489362,0.085106,0.046809,0.187234,0.012766,1.102128,2,1.059574,0.280851,1.068085,0.681,2024_abbott-adult-product-guide.pdf p.10,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-ensure-advance-chocolate,Ensure Advance,Chocolate,Ensure Advance — Chocolate,Abbott Nutrition,235,bottle,1.489362,0.085106,0.046809,0.187234,0.012766,1.102128,2,1.059574,0.280851,1.068085,0.681,2024_abbott-adult-product-guide.pdf p.10,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-ensure-protein-max-vanilla,Ensure Protein Max 30 g,Vanilla,Ensure Protein Max 30 g — Vanilla,Abbott Nutrition,330,carton,0.454545,0.090909,0.004545,0.018182,0.006061,0.424242,1.363636,1.818182,0.333333,1.515152,0.905,2024_abbott-adult-product-guide.pdf p.12,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-ensure-protein-max-chocolate,Ensure Protein Max 30 g,Chocolate,Ensure Protein Max 30 g — Chocolate,Abbott Nutrition,330,carton,0.454545,0.090909,0.004545,0.018182,0.006061,0.424242,1.363636,1.818182,0.333333,1.515152,0.905,2024_abbott-adult-product-guide.pdf p.12,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-ensure-compact-vanilla,Ensure Compact,Vanilla,Ensure Compact — Vanilla,Abbott Nutrition,118,bottle,1.847458,0.076271,0.050847,0.271186,0,1.372881,2.79661,2.762712,0.364407,1.59322,0.721,2024_abbott-adult-product-guide.pdf p.14,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-ensure-compact-chocolate,Ensure Compact,Chocolate,Ensure Compact — Chocolate,Abbott Nutrition,118,bottle,1.847458,0.076271,0.050847,0.271186,0,1.372881,2.79661,2.762712,0.364407,1.59322,0.721,2024_abbott-adult-product-guide.pdf p.14,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-ensure-regular-vanilla,Ensure Regular,Vanilla,Ensure Regular — Vanilla,Abbott Nutrition,235,bottle,1.021277,0.038298,0.025532,0.153191,0,0.893617,1.914894,1.489362,0.340426,1.06383,0.831,2024_abbott-adult-product-guide.pdf p.16,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-ensure-regular-chocolate,Ensure Regular,Chocolate,Ensure Regular — Chocolate,Abbott Nutrition,235,bottle,1.021277,0.038298,0.025532,0.153191,0,0.893617,1.914894,1.489362,0.340426,1.06383,0.831,2024_abbott-adult-product-guide.pdf p.16,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-ensure-regular-strawberry,Ensure Regular,Strawberry,Ensure Regular — Strawberry,Abbott Nutrition,235,bottle,1.021277,0.038298,0.025532,0.153191,0,0.893617,1.914894,1.489362,0.340426,1.06383,0.831,2024_abbott-adult-product-guide.pdf p.16,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-ensure-regular-butter-pecan,Ensure Regular,Butter Pecan,Ensure Regular — Butter Pecan,Abbott Nutrition,235,bottle,1.021277,0.038298,0.025532,0.153191,0,0.893617,1.914894,1.489362,0.340426,1.06383,0.831,2024_abbott-adult-product-guide.pdf p.16-17,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-ensure-high-protein-16-vanilla,Ensure High Protein 16 g,Vanilla,Ensure High Protein 16 g — Vanilla,Abbott Nutrition,235,bottle,0.680851,0.068085,0.008511,0.080851,0.003787,0.868085,1.978723,1.378723,0.178723,0.791489,0.838,2024_abbott-adult-product-guide.pdf p.18,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-ensure-high-protein-16-chocolate,Ensure High Protein 16 g,Chocolate,Ensure High Protein 16 g — Chocolate,Abbott Nutrition,235,bottle,0.680851,0.068085,0.008511,0.080851,0.003787,0.868085,1.978723,1.378723,0.178723,0.791489,0.838,2024_abbott-adult-product-guide.pdf p.18,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-ensure-high-protein-12-vanilla,Ensure High Protein 12 g,Vanilla,Ensure High Protein 12 g — Vanilla,Abbott Nutrition,235,bottle,0.957447,0.051064,0.025532,0.131915,0,1.229787,1.821277,1.170213,0.276596,1.170213,0.837,2024_abbott-adult-product-guide.pdf p.20,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-ensure-high-protein-12-chocolate,Ensure High Protein 12 g,Chocolate,Ensure High Protein 12 g — Chocolate,Abbott Nutrition,235,bottle,0.957447,0.051064,0.025532,0.131915,0,1.229787,1.821277,1.170213,0.276596,1.170213,0.837,2024_abbott-adult-product-guide.pdf p.20,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-ensure-high-protein-12-strawberry,Ensure High Protein 12 g,Strawberry,Ensure High Protein 12 g — Strawberry,Abbott Nutrition,235,bottle,0.957447,0.051064,0.025532,0.131915,0,1.229787,1.821277,1.170213,0.276596,1.170213,0.837,2024_abbott-adult-product-guide.pdf p.20,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-ensure-plus-calories-vanilla,Ensure Plus Calories,Vanilla,Ensure Plus Calories — Vanilla,Abbott Nutrition,235,bottle,1.489362,0.055319,0.046809,0.212766,0,0.893617,1.914894,1.489362,0.340426,0.744681,0.762,2024_abbott-adult-product-guide.pdf p.22,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
